data,kategoria,opis,kwota
2026-01-03,Jedzenie,Zakupy spozywcze,187.50
2026-01-04,Transport,Bilet miesieczny,110.00
2026-01-05,Rachunki,Prad,145.30
2026-01-06,Jedzenie,Restauracja,89.00
2026-01-07,Rozrywka,Kino,45.00
2026-01-09,Jedzenie,Zakupy spozywcze,203.20
2026-01-10,Rachunki,Internet,60.00
2026-01-12,Transport,Paliwo,180.00
2026-01-14,Jedzenie,Zakupy spozywcze,165.90
2026-01-15,Rozrywka,Koncert,120.00
2026-01-17,Rachunki,Woda,55.40
2026-01-18,Jedzenie,Restauracja,102.50
2026-01-20,Transport,Bilet miesieczny,110.00
2026-01-22,Jedzenie,Zakupy spozywcze,178.30
2026-01-24,Rozrywka,Ksiazki,67.00
2026-01-25,Rachunki,Prad,138.90
2026-01-27,Jedzenie,Zakupy spozywcze,195.60
2026-01-29,Transport,Paliwo,175.00
2026-01-30,Rozrywka,Kino,45.00
2026-01-31,Jedzenie,Restauracja,94.20
